"Reference","Value","Footprint","Qty","DNP","Mouser番号","digikey品番"
"C1","22u","ProjectEV_Capacitor:C_3216M","1","","",""
"C2,C4,C5,C6","10n","ProjectEV_Capacitor:C_1608M","4","","",""
"C3","100n","ProjectEV_Capacitor:C_1608M","1","","",""
"C7","1n","ProjectEV_Capacitor:C_3216M","1","","",""
"D1","PZ1AH11B-AU_R1_000A1","ProjectEV_Diode:PZ1AH11B-AU_R1_000A1","1","","241-PZ1AH11BAUR1000A",""
"D2,D4,D5,D6","B1911PG--20D000514U1930","ProjectEV_LED:B1911PG--20D000514U1930","4","","","3147-B1911PG--20D000514U1930CT-ND"
"D3","CUHZ20V,H3F","ProjectEV_Protection:CUHZ20V,H3F","1","","","264-CUHZ20VH3FCT-ND"
"D7,D8,D9","B1911USD-20D000114U1930","ProjectEV_LED:B1911USD-20D000114U1930","3","","","3147-B1911USD-20D000114U1930CT-ND"
"F1","0ABB-1000-TM","ProjectEV_Fuse:0ABB-1000-TM","1","","530-0ABB-1000-TM","507-0ABB-5000-TMCT-ND"
"J1","2-1445052-2","ProjectEV_Connector:2-1445052-2","1","","571-2-1445052-2",""
"J2","3-794633-8","ProjectEV_Connector:3-794633-8","1","","571-3-794633-8",""
"J3","B2P-VH","ProjectEV_Connector_JST:B2P-VH","1","","","455-1639-ND"
"J4","3-794633-6","ProjectEV_Connector:3-794633-6","1","","571-3-794633-6",""
"Q1","DMP3098LQ-7","ProjectEV_Transistor:DMP3098LQ-7","1","","621-DMP3098LQ-7",""
"Q2,Q3,Q4","2N7002K-AU_R1_000A2","ProjectEV_Transistor:2N7002K-AU_R1_000A2","3","","","3757-2N7002K-AU_R1_000A2CT-ND"
"R1,R2,R8,R9,R12,R15,R28,R29,R30,R31,R32,R33","10k","ProjectEV_Resistor:R_1608M","12","","",""
"R3,R4,R5,R6","0","ProjectEV_Resistor:R_1608M","4","","",""
"R7,R10,R13,R16,R19,R22,R25","100","ProjectEV_Resistor:R_1608M","7","","",""
"R11,R14,R17,R20,R23,R26","100k","ProjectEV_Resistor:R_1608M","6","","",""
"R18,R21,R24","1.2k","ProjectEV_Resistor:R_3216M","3","","",""
"R27","1M","ProjectEV_Resistor:R_3216M","1","","",""
"U1,U2,U3","TLP3106A(TP,F","ProjectEV_Relay:TLP3106A(TP,F","3","","757-TLP3106A(TP,F",""
"U4","CD4043BPWR","ProjectEV_Logic:CD4043BPWR","1","","595-CD4043BPWR",""
"U5","TBD62003AFNG,EL","ProjectEV_PowerManagement:TBD62003AFNG,EL","1","","757-TBD62003AFNGEL",""
