Comment,Designator,Footprint,LCSC,Quantity
0,"R3,R4,R5,R6",R_1608M,C21189,4
1.2k,"R18,R21,R24",R_3216M,C22765,3
100,"R10,R13,R16,R19,R22,R25,R7",R_1608M,C22775,7
100k,"R11,R14,R17,R20,R23,R26",R_1608M,C25803,6
100n,C3,C_1608M,C14663,1
10k,"R1,R12,R15,R2,R28,R29,R30,R31,R32,R33,R8,R9",R_1608M,C25804,12
10n,"C2,C4,C5,C6",C_1608M,C57112,4
22u,C1,C_3216M,C12891,1
B1911USD-20D000114U1930,D7,B1911USD-20D000114U1930,,1
B1911USD-20D000114U1930,D8,B1911USD-20D000114U1930,,1
1M,R27,R_3216M,,1
"TBD62003AFNG,EL",U5,"TBD62003AFNG,EL",,1
"TLP3106A(TP,F",U3,"TLP3106A(TP,F",,1
B2P-VH,J3,B2P-VH,,1
2N7002K-AU_R1_000A2,Q3,2N7002K-AU_R1_000A2,,1
3-794633-8,J2,3-794633-8,,1
PZ1AH11B-AU_R1_000A1,D1,PZ1AH11B-AU_R1_000A1,,1
2-1445052-2,J1,2-1445052-2,,1
2N7002K-AU_R1_000A2,Q2,2N7002K-AU_R1_000A2,,1
"CUHZ20V,H3F",D3,"CUHZ20V,H3F",,1
2N7002K-AU_R1_000A2,Q4,2N7002K-AU_R1_000A2,,1
B1911PG--20D000514U1930,D2,B1911PG--20D000514U1930,,1
B1911PG--20D000514U1930,D4,B1911PG--20D000514U1930,,1
B1911PG--20D000514U1930,D5,B1911PG--20D000514U1930,,1
CD4043BPWR,U4,CD4043BPWR,,1
3-794633-6,J4,3-794633-6,,1
1n,C7,C_3216M,,1
"TLP3106A(TP,F",U2,"TLP3106A(TP,F",,1
B1911USD-20D000114U1930,D9,B1911USD-20D000114U1930,,1
DMP3098LQ-7,Q1,DMP3098LQ-7,,1
"TLP3106A(TP,F",U1,"TLP3106A(TP,F",,1
0ABB-1000-TM,F1,0ABB-1000-TM,,1
B1911PG--20D000514U1930,D6,B1911PG--20D000514U1930,,1
