Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,22u,
"C10, C11, C3, C4, C5, C6, C7, C8, C9",0603,9,0.01u,
C12,1206,1,1000p,
D1,D_SOD-123HE_PZ1AHxxxB-AU,1,PZ1AH11B-AU,
"D2, D6, D7",0603,3,LED,
"D3, D4, D5",D_SOD-123_1N4448W,3,1N4448WQ-7-F,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,M3,
"J1, J10, J3, J4, J5, J6, J8, J9",Connector_BM02B-PASS-1-TF,8,BM02B-PASS-1-TF,
J2,Connector_BM03B-PASS-1-TF,1,BM03B-PASS-1-TF,
J7,Connector_B2P-VH,1,B2P-VH,
"K1, K2, K3",Relay_G5Q-1A4 DC12,3,G5Q-1A4_DC12,
Q1,Package_SOT-23_DMP3098LQ-7,1,DMP3098LQ-7,
"Q10, Q11, Q2, Q4, Q6, Q7",Package_SOT-23_2N7002K-AU,6,2N7002K-AU,
"Q12, Q13, Q3, Q5, Q8, Q9",Package_SOT-23_PJA3439-AU_R1_000A1,6,PJA3439-AU_R1_000A1,
R1,0603,1,100k,
"R10, R12, R13, R18, R19, R2, R23, R26, R28, R29, R5, R8",0603,12,100,
"R11, R30, R31",0603,3,0,
"R14, R15, R16, R17, R22, R24, R25, R27, R3, R4, R7, R9",0603,12,1M,
"R20, R21, R6",0603,3,10k,
R32,1206,1,1M,
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.5mm,4,TestPoint,
