digikey品番,購入個数,実装個数,説明
490-GRM31CC71E226ME15LCT-ND,2,2,"mlcc, 22u, 3216"
445-5662-1-ND,9,9,"mlcc, 0.01u, 1608"
4587-C1206X102K102TXCT-ND,1,1,"mlcc, 1000p, 3216"
3757-PZ1AH11B-AU_R1_000A1CT-ND,1,1,"Zener, PZ1AH11B-AU"
3147-B1911PG--20D000514U1930CT-ND,3,3,"LED, G"
1N4448WQ-7-FDICT-ND,3,3,"D, 1N4448WQ-7-F"
455-BM02B-PASS-1-TFTCT-ND,8,8,"PA, 2pin, Vertical"
455-BM03B-PASS-1-TFTCT-ND,1,1,"PA, 3pin, Vertical"
455-1639-ND,1,1,"VH, 2pin, Vertical"
Z223-ND,3,3,Relay
DMP3098LQ-7DICT-ND,1,1,PMOS
3757-2N7002K-AU_R1_000A2CT-ND,6,6,NMOS
3757-PJA3439-AU_R1_000A1CT-ND,6,6,PMOS
P100KHCT-ND,1,1,"R, 100k, 1608"
P100HCT-ND,12,12,"R, 100, 1608"
2019-RK73Z1JTTDCT-ND,3,3,"R, 0, 1608"
311-10.0KHRCT-ND,3,3,"R, 10k, 1608"
P1.0MALCT-ND,1,1,"R, 1M, 3216"
